experiment_id,timestamp,graph,algo,num_runs,base_seed,build_time_sec,placement_mode,transmission_cost,computation_cost,total_cost,computation_cost_ratio,num_activated_nodes,no_lqdc_transmission_cost,no_lqdc_computation_cost,no_lqdc_total_cost,lqdc_cost_savings,lqdc_cost_savings_ratio,k
0,2026-08-31T16:21:57,ITCD_d30_b83,SPT,0,0,0.00014138221740722656,none,7678.013519702053,0,7678.013519702053,0.0,0,7678.013519702053,0.0,7678.013519702053,0.0,0.0,2
1,2026-08-31T16:21:58,ITCD_d30_b83,CLEA,0,0,0.10839271545410156,branch,5202.891271629005,58,5260.891271629005,0.011024747900186241,29,8648.017560671024,0.0,8648.017560671024,3387.1262890420185,0.391665056792415,2
2,2026-08-31T16:21:59,ITCD_d30_b83,DMST,0,0,0.027542829513549805,branch,4847.8323148942445,36,4883.8323148942445,0.007371260452618458,18,8039.221231187935,0.0,8039.221231187935,3155.3889162936903,0.3924993261850348,2
3,2026-08-31T16:21:59,ITCD_d30_b83,KMB,0,0,0.012420654296875,branch,5132.120528762959,36,5168.120528762959,0.006965781815583345,18,9358.340051165633,0.0,9358.340051165633,4190.219522402674,0.44775243253537883,2
4,2026-08-31T16:22:00,ITCD_d30_b83,MFCS,0,0,0.0063135623931884766,branch,4747.4619685766265,38,4785.4619685766265,0.007940717165766675,19,7858.463174444052,0.0,7858.463174444052,3073.0012058674256,0.3910435332777169,2
5,2026-08-31T16:22:01,ITCD_d30_b83,QSTA,0,0,0.27695393562316895,explicit,5778.908614242468,20,5798.908614242468,0.003448924846113077,10,7954.007171363026,0.0,7954.007171363026,2155.0985571205583,0.2709450105702197,2
0,2026-08-31T16:22:02,ITCD_d35_b78,SPT,0,0,0.00022220611572265625,none,8906.253546057782,0,8906.253546057782,0.0,0,8906.253546057782,0.0,8906.253546057782,0.0,0.0,2
1,2026-08-31T16:22:03,ITCD_d35_b78,CLEA,0,0,0.10281491279602051,branch,5433.0462067038325,58,5491.0462067038325,0.010562650142916255,29,9918.438731742774,0.0,9918.438731742774,4427.392525038941,0.44637998426804837,2
2,2026-08-31T16:22:04,ITCD_d35_b78,DMST,0,0,0.03860664367675781,branch,5244.396925122613,38,5282.396925122613,0.007193704020853745,19,9491.837728679304,0.0,9491.837728679304,4209.440803556691,0.44348006401731793,2
3,2026-08-31T16:22:05,ITCD_d35_b78,KMB,0,0,0.012550115585327148,branch,5446.618371749319,42,5488.618371749319,0.007652198997142858,21,10526.30929529345,0.0,10526.30929529345,5037.690923544131,0.47858093299582183,2
4,2026-08-31T16:22:06,ITCD_d35_b78,MFCS,0,0,0.008283138275146484,branch,5132.573214298547,38,5170.573214298547,0.007349281873606575,19,9128.560206421065,0.0,9128.560206421065,3957.986992122518,0.43358283262879227,2
5,2026-08-31T16:22:07,ITCD_d35_b78,QSTA,0,0,0.3910853862762451,explicit,6703.136590663461,24,6727.136590663461,0.003567639764191708,12,9405.777873926683,0.0,9405.777873926683,2678.6412832632222,0.28478678947847136,2
0,2026-08-31T16:22:08,ITCD_d40_b73,SPT,0,0,0.00014448165893554688,none,10489.543148678304,0,10489.543148678304,0.0,0,10489.543148678304,0.0,10489.543148678304,0.0,0.0,2
1,2026-08-31T16:22:09,ITCD_d40_b73,CLEA,0,0,0.11317801475524902,branch,6159.638160085798,58,6217.638160085798,0.009328300957159535,29,11449.872106476461,0.0,11449.872106476461,5232.233946390664,0.45696876766257705,2
2,2026-08-31T16:22:10,ITCD_d40_b73,DMST,0,0,0.03306698799133301,branch,5865.104605879549,42,5907.104605879549,0.007110082316503405,21,10719.644557714235,0.0,10719.644557714235,4812.539951834686,0.44894585132222614,2
3,2026-08-31T16:22:11,ITCD_d40_b73,KMB,0,0,0.016885995864868164,branch,6066.752180743172,46,6112.752180743172,0.007525251906156523,23,12419.91964458021,0.0,12419.91964458021,6307.167463837038,0.5078267528557926,2
4,2026-08-31T16:22:12,ITCD_d40_b73,MFCS,0,0,0.008206605911254883,branch,5812.278597629633,44,5856.278597629633,0.007513303758774265,22,10790.41220457716,0.0,10790.41220457716,4934.133606947527,0.45727016849778257,2
5,2026-08-31T16:22:13,ITCD_d40_b73,QSTA,0,0,0.4609501361846924,explicit,7416.696686451223,22,7438.696686451223,0.0029575073332497354,11,10924.855109198937,0.0,10924.855109198937,3486.158422747714,0.31910340118033254,2
